,index,Similarity_Type,Number of Clusters (input),Number of clusters(output),Affinity Type,Word/Sentence,File_Name,Clusters,Mismatch Metric,Match Metric,M,False Positive,False Negative,costs
23,24,num_word_similarity,10,10,sigmoid,sentence-based,n50_de_rma,"[0 0 2 4 2 4 0 0 0 6 0 7 0 0 0 0 0 4 4 2 0 0 0 5 3 4 2 1 0 8 9 4 0 4 0 4 0
 2 0 2 0 4 2 4 0 0 0 0 4 0]",806.0,66.0,1.0,70.0,736.0,"(396.4706493506506, 76.560000000000016)"
24,25,num_word_similarity,10,7,polynomial,word-based,n50_de_rma,"[3, 3, 3, 3, 2, 3, 1, 2, 2, 2, 3, 3, 3, 3, 3, 5, 1, 2, 0, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 6, 3, 2, 2, 3, 3, 2, 3, 9, 6, 2, 6, 3, 6, 3, 3, 2, 3]",968.0,72.0,2.0,64.0,904.0,"(84.866084368683858, 25.56812202923312)"
25,26,num_word_similarity,10,10,polynomial,sentence-based,n50_de_rma,"[0 0 0 0 0 0 0 0 0 0 3 0 7 0 0 0 0 0 0 0 0 0 0 8 8 7 0 8 3 1 5 5 0 9 2 0 3
 6 0 7 0 0 0 4 0 0 0 7 0 0]",1128.0,70.0,1.5,66.0,1062.0,"(513.15909090908838, 83.879999999999953)"
26,27,num_word_similarity,10,6,poly,word-based,n50_de_rma,"[1, 1, 1, 1, 4, 1, 0, 4, 3, 1, 1, 1, 1, 1, 1, 5, 0, 1, 0, 3, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 0, 1, 3, 1, 7, 1, 1, 1, 4, 1, 4, 3, 1, 3, 1, 3, 1, 1, 3, 1]",1102.0,78.0,4.0,58.0,1044.0,"(84.159158742353526, 25.221650982277492)"
27,28,num_word_similarity,10,10,poly,sentence-based,n50_de_rma,"[0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 6 6 8 0 6 5 1 2 2 0 3 4 3 5
 9 0 8 0 0 0 7 0 0 0 0 0 0]",1170.0,78.0,2.0,58.0,1112.0,"(515.29411764705628, 83.439999999999984)"
28,29,num_word_similarity,10,10,linear,word-based,n50_de_rma,"[3, 7, 2, 8, 2, 7, 0, 2, 3, 0, 9, 2, 4, 9, 6, 1, 5, 2, 0, 2, 4, 4, 7, 9, 3, 0, 3, 7, 5, 7, 8, 2, 3, 0, 0, 0, 2, 4, 2, 1, 4, 4, 2, 4, 9, 3, 0, 4, 2, 1]",368.0,56.0,4.5,80.0,288.0,"(87.18888400802588, 25.505933162430498)"
29,30,num_word_similarity,10,10,linear,sentence-based,n50_de_rma,"[0 3 0 7 0 9 1 0 0 0 2 0 4 8 8 1 7 7 0 0 4 4 4 7 7 1 1 7 2 6 3 3 0 5 5 7 5
 3 0 1 1 3 0 3 1 8 8 8 0 7]",386.0,62.0,4.5,74.0,312.0,"(471.75833333333367, 89.879999999999953)"
30,31,num_word_similarity,10,10,cosine,word-based,n50_de_rma,"[4, 8, 3, 1, 4, 6, 1, 4, 9, 2, 4, 3, 4, 5, 8, 0, 7, 3, 0, 3, 4, 4, 6, 0, 0, 9, 9, 4, 7, 0, 5, 2, 9, 2, 2, 2, 3, 4, 4, 0, 4, 2, 4, 4, 5, 0, 2, 4, 3, 3]",404.0,58.0,3.5,78.0,326.0,"(87.76555358247893, 24.714266108779306)"
31,32,num_word_similarity,10,10,cosine,sentence-based,n50_de_rma,"[8 4 0 7 0 5 2 0 4 9 4 9 3 8 8 2 7 7 5 9 3 3 3 7 7 2 2 7 4 1 4 4 1 6 6 7 6
 1 1 2 2 4 0 4 2 8 8 1 9 2]",292.0,66.0,4.5,70.0,222.0,"(348.66190476190474, 86.559999999999889)"
32,33,num_word_similarity,12,12,nearest_neighbors,word-based,n50_de_rma,"[3, 10, 0, 11, 7, 3, 0, 2, 0, 0, 7, 0, 5, 0, 0, 2, 2, 0, 0, 0, 7, 8, 3, 0, 3, 11, 11, 2, 2, 9, 0, 1, 3, 1, 1, 0, 6, 8, 7, 9, 8, 3, 4, 3, 0, 3, 0, 5, 0, 0]",464.0,52.0,3.0,84.0,380.0,"(95.110708700639563, 26.272407576763822)"
